adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks,https://www.sec.gov/dera/data/financial-statement-data-sets.html 
0001104659-20-096867,895051,"CASI PHARMACEUTICALS, INC.",2836,US,MD,ROCKVILLE,20850,9620 MEDICAL CENTER DR,STE 300,240-864-2600,US,MD,ROCKVILLE,20850,9620 MEDICAL CENTER DR,STE 300,US,DE,581959440,ENTREMED INC,19960415,2-ACC,0,1231,8-K,20200731,,,20200819,02:00.0,0,0,tm2028794d1_8k_htm.xml,1,,
0001104659-20-096884,1705682,VENATOR MATERIALS PLC,2810,GB,,"WYNYARD PARK, STOCKTON-ON-TEES",TS22 5FD,"TITANIUM HOUSE, HANZARD DRIVE",,44 (0) 1740 608 001,GB,,"WYNYARD PARK, STOCKTON-ON-TEES",TS22 5FD,"TITANIUM HOUSE, HANZARD DRIVE",,,,981373159,,,2-ACC,0,1231,8-K,20200831,,,20200819,06:00.0,0,0,tm2028957-1_8k_htm.xml,1,,
0001104659-20-096897,1753162,FATHOM HOLDINGS INC.,6531,US,NC,CARY,27511,211 NEW EDITION COURT,SUITE 211,(919) 434-3975,US,NC,CARY,27511,211 NEW EDITION COURT,SUITE 211,US,NC,821518164,,,4-NON,0,1231,10-Q,20200630,2020,Q2,20200819,12:00.0,0,1,fthm-20200630.xml,1,,
0001104659-20-096899,1158420,CHINA HGS REAL ESTATE INC.,6500,CN,,SHAANXI,723000,"6 XINGHAN ROAD, 19TH FLOOR, HANZHONG",,8.61E+12,CN,,SHAANXI,723000,"6 XINGHAN ROAD, 19TH FLOOR, HANZHONG",,CN,,330961490,CHINA AGRO SCIENCES CORP.,20060504,4-NON,0,930,10-Q,20200630,2020,Q3,20200819,16:00.0,0,1,hgsh-20200630.xml,1,,
0001104659-20-096901,1711012,SENMIAO TECHNOLOGY LTD,6199,CN,,"CHENGDU, SICHUAN",610000,"16F, SHIHAO SQUARE, MIDDLE JIANNAN BLVD.",HIGH TECH ZONE,8.63E+11,CN,,"CHENGDU, SICHUAN",610000,"16F, SHIHAO SQUARE, MIDDLE JIANNAN BLVD.",HIGH TECH ZONE,US,NV,0,,,4-NON,0,331,10-Q,20200630,2021,Q1,20200819,16:00.0,0,1,aihs-20200630.xml,1,,
0001104659-20-096918,1070423,PLAINS ALL AMERICAN PIPELINE LP,4610,US,TX,HOUSTON,77002,333 CLAY STREET,SUITE 1600,7136544100,US,TX,HOUSTON,77002,333 CLAY STREET,SUITE 1600,US,DE,760582150,,,1-LAF,0,1231,8-K,20200731,,,20200819,31:00.0,0,0,tm2026895d2_8k_htm.xml,1,,
0001104659-20-096921,1042642,DISH DBS CORP,4899,US,CO,ENGLEWOOD,80112,9601 S. MERIDIAN BLVD.,,3037231277,US,CO,ENGLEWOOD,80112,9601 S. MERIDIAN BLVD.,,US,CO,841328967,ECHOSTAR DBS CORP,19970717,4-NON,0,1231,S-4,20200630,,,20200819,33:00.0,0,1,ddbs-20200819.xml,8,1819899 1819903 1175721 1819906 920436 1285646 920433,
0001104659-20-096927,1581990,PLAINS GP HOLDINGS LP,4610,US,TX,HOUSTON,77002,333 CLAY ST,SUITE 1600,713-646-4100,US,TX,HOUSTON,77002,333 CLAY ST,SUITE 1600,US,DE,0,,,1-LAF,0,1231,8-K,20200731,,,20200819,33:00.0,0,0,tm2026896d2_8k_htm.xml,1,,
0001104659-20-096929,102109,UNIVERSAL SECURITY INSTRUMENTS INC,5065,US,MD,OWINGS MILLS,21117-3586,"11407 CRONHILL DRIVE, SUITES A-D",,4103633000,US,MD,OWINGS MILLS,21117-3586,"11407 CRONHILL DRIVE, SUITES A-D",,US,MD,520898545,,,4-NON,0,331,10-Q,20200630,2021,Q1,20200819,37:00.0,0,1,uuu-20200630.xml,1,,
0001104659-20-096951,1045609,"PROLOGIS, INC.",6798,US,CA,SAN FRANCISCO,94111,PIER 1 BAY 1,,4153949000,US,CA,SAN FRANCISCO,94111,PIER 1 BAY 1,,US,MD,943281941,AMB PROPERTY CORP,19970916,1-LAF,0,1231,8-K,20200731,,,20200819,17:00.0,0,0,tm2026597d4_8k_htm.xml,2,1045610,
0001104659-20-096954,1418135,KEURIG DR PEPPER INC.,2080,US,MA,BURLINGTON,1803,53 SOUTH AVENUE,,781-418-7000,US,MA,BURLINGTON,1803,53 SOUTH AVENUE,,US,DE,753258232,"DR PEPPER SNAPPLE GROUP, INC.",20080108,1-LAF,0,1231,8-K,20200831,,,20200819,20:00.0,0,0,tm2027264-6_8k_htm.xml,1,,
0001104659-20-096961,763907,FIRST UNITED CORP/MD/,6021,US,MD,OAKLAND,21550,19 S SECOND ST,,3013349471,US,MD,OAKLAND,21550,19 S SECOND ST,,US,MD,521380770,,,2-ACC,0,1231,8-K,20200831,,,20200819,29:00.0,0,0,tm2029040d1_8k_htm.xml,1,,
0001104659-20-096972,1477009,GENERAL CANNABIS CORP,7381,US,CO,DENVER,80224,6565 EAST EVANS AVENUE,,303-759-1300,US,CO,DENVER,80224,6565 EAST EVANS AVENUE,,US,CO,208096131,"ADVANCED CANNABIS SOLUTIONS, INC.",20131023,4-NON,0,1231,10-Q,20200630,2020,Q2,20200820,48:00.0,0,1,cann-20200630.xml,1,,
0001104659-20-097036,1465128,"STARWOOD PROPERTY TRUST, INC.",6798,US,CT,GREENWICH,6830,C/O STARWOOD CAPITAL GROUP,591 WEST PUTNAM AVENUE,(203) 422-7700,US,CT,GREENWICH,6830,C/O STARWOOD CAPITAL GROUP,591 WEST PUTNAM AVENUE,,,270247747,,,1-LAF,0,1231,8-K,20200831,,,20200820,07:00.0,0,0,tm2028989d2_8k_htm.xml,1,,
0001104659-20-097054,1603016,HOEGH LNG PARTNERS LP,4400,BM,,HAMILTON,HM 11,"SUITE 616, 48 PAR-LA-VILLE ROAD",,441-295-6815,BM,,HAMILTON,HM 11,"SUITE 616, 48 PAR-LA-VILLE ROAD",,MH,,0,,,2-ACC,0,1231,6-K,20200630,2020,Q2,20200820,31:00.0,0,1,tmb-20200820x6k_htm.xml,1,,
0001104659-20-097077,1477294,SENSATA TECHNOLOGIES HOLDING PLC,3823,GB,,SWINDON,SN4 8SY,"INTERFACE HOUSE, INTERFACE BUSINESS PARK","BINCKNOLL LANE, ROYAL WOOTTON BASSETT",508-236-3800,GB,,SWINDON,SN4 8SY,"INTERFACE HOUSE, INTERFACE BUSINESS PARK","BINCKNOLL LANE, ROYAL WOOTTON BASSETT",,,981386780,SENSATA TECHNOLOGIES HOLDING N.V.,20100226,1-LAF,0,1231,8-K,20200831,,,20200820,01:00.0,0,0,tm2027758d1_8k_htm.xml,1,,
0001104659-20-097083,1579428,"AXSOME THERAPEUTICS, INC.",2834,US,NY,NEW YORK,10007,"22 CORTLANDT STREET, 16TH FLOOR",,(212) 332-3241,US,NY,NEW YORK,10007,"22 CORTLANDT STREET, 16TH FLOOR",,US,DE,454241907,,,2-ACC,0,1231,8-K,20200831,,,20200820,25:00.0,1,0,tm2029067-1_8k_htm.xml,1,,
0001104659-20-097095,1046102,RITCHIE BROS AUCTIONEERS INC,7389,CA,BC,BURNABY,V5J 0C6,9500 GLENLYON PARKWAY,,7783315500,CA,BC,BURNABY,V5J 0C6,9500 GLENLYON PARKWAY,,CA,ON,0,,,1-LAF,0,1231,8-K,20200831,,,20200820,06:00.0,0,0,tm2029048-1_8k_htm.xml,1,,
0001104659-20-097097,1330436,LIQUIDIA TECHNOLOGIES INC,3841,US,NC,DURHAM,27713,419 DAVIS DRIVE,SUITE 100,919-328-4400,US,NC,RESEARCH TRIANGLE PARK,27709,P.O. BOX 110085,,US,DE,0,,,2-ACC,0,1231,8-K,20200831,,,20200820,20:00.0,0,0,tm2029001d1_8k_htm.xml,1,,
0001104659-20-097159,17797,"DUKE ENERGY PROGRESS, LLC.",4911,US,NC,RALEIGH,27601,410 S. WILMINGTON STREET,,9195466111,US,NC,RALEIGH,27601,410 S. WILMINGTON STREET,,US,NC,560165465,"DUKE ENERGY PROGRESS, INC.",20130514,,0,1231,8-K,20200831,,,20200820,10:00.0,0,0,tm2027331d6_8k_htm.xml,1,,
0001104659-20-097215,1355096,"QURATE RETAIL, INC.",5961,US,CO,ENGLEWOOD,80112,12300 LIBERTY BOULEVARD,,7208755400,US,CO,ENGLEWOOD,80112,12300 LIBERTY BOULEVARD,,,,841288730,LIBERTY INTERACTIVE CORP,20110923,1-LAF,0,1231,8-K,20200831,,,20200820,02:00.0,0,0,tm2027629d1_8k_htm.xml,1,,
0001104659-20-097221,1567683,"CLEARWAY ENERGY, INC.",4911,US,NJ,PRINCETON,8540,"300 CARNEGIE CENTER, SUITE 300",,609-608-1525,US,NJ,PRINCETON,8540,"300 CARNEGIE CENTER, SUITE 300",,US,DE,461777204,"NRG YIELD, INC.",20130606,1-LAF,0,1231,8-K,20200831,,,20200820,06:00.0,0,0,tm2025854d5_8k_htm.xml,1,,
0001104659-20-097224,1637757,CLEARWAY ENERGY LLC,4911,US,NJ,PRINCETON,8540,"300 CARNEGIE CENTER, SUITE 300",,609-608-1525,US,NJ,PRINCETON,8540,"300 CARNEGIE CENTER, SUITE 300",,US,DE,320407370,CLEAR ENERGY LLC,20180904,4-NON,0,1231,8-K,20200831,,,20200820,07:00.0,0,0,tm2025861-2_8k_htm.xml,1,,
0001104659-20-097225,1040829,"RYMAN HOSPITALITY PROPERTIES, INC.",6798,US,TN,NASHVILLE,37214,ONE GAYLORD DR,,6153166000,US,TN,NASHVILLE,37214,ONE GAYLORD DRIVE,,US,DE,730664379,GAYLORD ENTERTAINMENT CO /DE,19971002,1-LAF,0,1231,8-K,20200831,,,20200820,07:00.0,0,0,tm2029022-1_8k_htm.xml,1,,
0001104659-20-097226,1095651,ISTAR INC.,6798,US,NY,NEW YORK,10036,1114 AVENUE OF THE AMERICAS,39TH FLOOR,2129309400,US,NY,NEW YORK,10036,1114 AVENUE OF THE AMERICAS,39TH FLOOR,,,956881527,ISTAR FINANCIAL INC,20000501,1-LAF,0,1231,8-K,20200831,,,20200820,10:00.0,0,0,tm2027610-4_8k_htm.xml,1,,
0001104659-20-097232,1811764,THERAPEUTICS ACQUISITION CORP.,6770,US,MA,BOSTON,2116,200 BERKELEY STREET,18TH FLOOR,617-778-2500,US,MA,BOSTON,2116,200 BERKELEY STREET,18TH FLOOR,US,DE,0,,,4-NON,0,1231,10-Q,20200630,2020,Q2,20200820,16:00.0,0,1,txac-20200630.xml,1,,
0001104659-20-097234,1529463,"FTS INTERNATIONAL, INC.",1389,US,TX,FORT WORTH,76102,777 MAIN STREET,SUITE 2900,(817) 862-2000,US,TX,FORT WORTH,76102,777 MAIN STREET,SUITE 2900,US,DE,451610731,"FTS INTERNATIONAL, LLC",20111020,2-ACC,0,1231,8-K,20200731,,,20200820,16:00.0,0,0,tm2029090-1_8k_htm.xml,1,,
0001104659-20-097239,21510,COHERENT INC,3826,US,CA,SANTA CLARA,95054,5100 PATRICK HENRY DR,,4087644000,US,CA,SANTA CLARA,95054,5100 PATRICK HENRY DRIVE,MAIL STOP P38,US,DE,941622541,COHERENT RADIATION,19770604,1-LAF,0,930,8-K,20200831,,,20200820,17:00.0,0,0,tm2029109-1_8k_htm.xml,1,,
0001104659-20-097244,1705110,ANGI HOMESERVICES INC.,7310,US,NY,NEW YORK,10011,555 WEST 18TH STREET,,2123147230,US,NY,NEW YORK,10011,555 WEST 18TH STREET,,US,DE,821204801,"HALO TOPCO, INC.",20170427,1-LAF,0,1231,8-K,20200831,,,20200820,23:00.0,0,0,tm2029029d1_8k_htm.xml,1,,
0001104659-20-097276,1072379,NORTHWEST BIOTHERAPEUTICS INC,2834,US,MD,BETHESDA,20814,4800 MONTGOMERY LANE,SUITE 800,(240) 497-9024,US,MD,BETHESDA,20814,4800 MONTGOMERY LANE,SUITE 800,US,DE,943306718,,,2-ACC,0,1231,8-K,20200731,,,20200820,52:00.0,0,0,tm2029106d1_8k_htm.xml,1,,
0001104659-20-097286,850261,"SORRENTO THERAPEUTICS, INC.",2836,US,CA,SAN DIEGO,92121,4955 DIRECTORS PLACE,,858-203-4100,US,CA,SAN DIEGO,92121,4955 DIRECTORS PLACE,,US,DE,330344842,QUIKBYTE SOFTWARE INC,19920703,2-ACC,0,1231,8-K,20200831,,,20200820,56:00.0,0,0,tm2029047-1_8k_htm.xml,1,,
0001104659-20-097293,1800227,IAC/INTERACTIVECORP,5990,US,NY,NEW YORK,10011,555 WEST 18TH STREET,,(212) 314-7300,US,NY,NEW YORK,10011,555 WEST 18TH STREET,,US,DE,843727412,"IAC HOLDINGS, INC.",20200115,4-NON,0,1231,8-K,20200831,,,20200820,02:00.0,0,0,tm2029028d1_8k_htm.xml,1,,
0001104659-20-097296,66740,3M CO,3841,US,MN,ST PAUL,55144-1000,3M CENTER,BLDG. 220-13E-26A,6517331474,US,MN,ST. PAUL,55144-1000,3M CENTER,BLDG. 220-13E-26A,US,DE,410417775,MINNESOTA MINING & MANUFACTURING CO,19920703,1-LAF,0,1231,8-K,20200831,,,20200820,06:00.0,0,0,tm2029105d1_8k_htm.xml,1,,
0001104659-20-097299,72741,EVERSOURCE ENERGY,4911,US,MA,SPRINGFIELD,1104,300 CADWELL DRIVE,,8606655000,US,CT,BERLIN,06037-1616,107 SELDEN ST,,US,MA,42147929,NORTHEAST UTILITIES,20041201,1-LAF,0,1231,8-K,20200731,,,20200820,08:00.0,0,0,tm2029017-1_8k_htm.xml,1,,
0001104659-20-097315,1012477,AVADEL PHARMACEUTICALS PLC,2834,IE,,DUBLIN,15,BLOCK 10-1 BLANCHARDSTOWN CORPORATE PARK,BALLYCOOLIN,636-449-1830,US,MO,CHESTERFIELD,63005,16640 CHESTERFIELD GROVE ROAD,SUITE 200,,,0,FLAMEL TECHNOLOGIES SA,19960422,2-ACC,0,1231,8-K/A,20200731,,,20200820,20:00.0,0,0,tm2029121d1_8k_htm.xml,1,,
0001104659-20-097371,1745317,GRAF INDUSTRIAL CORP.,3569,US,TX,HOUSTON,77070,118 VINTAGE PARK BLVD,SUITE W-222,3107458669,US,TX,HOUSTON,77070,118 VINTAGE PARK BLVD,SUITE W-222,US,DE,0,,,2-ACC,0,1231,8-K,20200831,,,20200821,54:00.0,0,0,tm2029116d1_8k_htm.xml,1,,
0001104659-20-097417,1124524,"CRYOPORT, INC.",2834,US,TN,BRENTWOOD,37027,"112 WESTWOOD PLACE, SUITE 350",,(949) 232-1900,US,TN,BRENTWOOD,37027,"112 WESTWOOD PLACE, SUITE 350",,US,NV,880313393,CRYOPORT SYSTEMS LLC,20010614,2-ACC,0,1231,8-K,20200831,,,20200821,45:00.0,0,0,tm2029165-1_8k_htm.xml,1,,
0001104659-20-097430,1265131,HILLTOP HOLDINGS INC.,6022,US,TX,DALLAS,75205,6565 HILLCREST AVE.,,214.855.2177,US,TX,DALLAS,75205,6565 HILLCREST AVE.,,US,MD,841477939,AFFORDABLE RESIDENTIAL COMMUNITIES INC,20030929,1-LAF,0,1231,8-K,20200831,,,20200821,46:00.0,0,0,tm2029153d1_8k_htm.xml,1,,
0001104659-20-097437,1681622,VAREX IMAGING CORP,3679,US,UT,SALT LAKE CITY,84104,1678 S. PIONEER ROAD,,801-972-5000,US,UT,SALT LAKE CITY,84104,1678 S. PIONEER ROAD,,US,DE,813434516,,,1-LAF,0,930,8-K,20200831,,,20200821,27:00.0,0,0,tm2029151-1_8k_htm.xml,1,,
0001104659-20-097566,812074,"O-I GLASS, INC. /DE/",3221,US,OH,PERRYSBURG,43551-2999,ONE MICHAEL OWENS WAY,,5673365000,US,OH,PERRYSBURG,43551-2999,ONE MICHAEL OWENS WAY,,US,DE,222781933,OWENS ILLINOIS INC /DE/,20100601,1-LAF,0,1231,8-K,20200831,,,20200821,02:00.0,0,0,tm2029166d1_8k_htm.xml,1,,
0001104659-20-097568,1433270,ANTERO RESOURCES CORP,1311,US,CO,DENVER,80202,1615 WYNKOOP STREET,,303-357-7325,US,CO,DENVER,80202,1615 WYNKOOP STREET,,,,800162034,ANTERO RESOURCES APPALACHIAN CORP,20100209,1-LAF,0,1231,8-K,20200831,,,20200821,03:00.0,0,0,tm2027784d5_8k_htm.xml,1,,
0001104659-20-097574,1297989,"EXLSERVICE HOLDINGS, INC.",7389,US,,NEW YORK,10022,320 PARK AVENUE,29TH FLOOR,(212) 277-7100,US,,NEW YORK,10022,320 PARK AVENUE,29TH FLOOR,US,DE,820572194,,,1-LAF,0,1231,8-K,20200831,,,20200821,05:00.0,0,0,tm2029160-1_8k_htm.xml,1,,
0001104659-20-097580,1461755,"ATLANTIC CAPITAL BANCSHARES, INC.",6022,US,GA,ATLANTA,30326,RESURGENS PLAZA,"945 EAST PACES FERRY ROAD NE, STE 1600",4049956050,US,GA,ATLANTA,30326,RESURGENS PLAZA,"945 EAST PACES FERRY ROAD NE, STE 1600",US,GA,205728270,,,2-ACC,0,1231,8-K,20200831,,,20200821,09:00.0,0,0,tm2029062d1_8k_htm.xml,1,,
0001104659-20-097589,1573097,"HD SUPPLY HOLDINGS, INC.",5000,US,GA,ATLANTA,30339,3400 CUMBERLAND BOULEVARD,,770-852-9000,US,GA,ATLANTA,30339,3400 CUMBERLAND BOULEVARD,,US,DE,260486780,"HD SUPPLY HOLDING, INC.",20130408,1-LAF,0,131,8-K,20200831,,,20200821,15:00.0,0,0,tm2027129-2_8k_htm.xml,2,1465264,
0001104659-20-097606,1070081,"PTC THERAPEUTICS, INC.",2834,US,NJ,SOUTH PLAINFIELD,07080-2449,100 CORPORATE COURT,,9082227000,US,NJ,SOUTH PLAINFIELD,07080-2449,100 CORPORATE COURT,,US,DE,43416587,PTC THERAPEUTICS INC,19980909,1-LAF,0,1231,8-K,20200831,,,20200821,23:00.0,0,0,tm2029174d1_8-k_htm.xml,1,,
0001104659-20-097615,1498828,HOWARD HUGHES CORP,6798,US,TX,DALLAS,75240,ONE GALLERIA TOWER,"13355 NOEL ROAD, 22ND FLOOR",214-741-7744,US,TX,DALLAS,75240,ONE GALLERIA TOWER,"13355 NOEL ROAD, 22ND FLOOR",US,DE,364673192,"SPINCO, INC.",20100811,1-LAF,0,1231,8-K,20200831,,,20200821,31:00.0,0,0,tm2026354d5_8k_htm.xml,1,,
0001104659-20-097616,1725255,ADAPTHEALTH CORP.,8082,US,PA,PLYMOUTH MEETING,19462,220 WEST GERMANTOWN PIKE,SUITE 250,610-630-6357,US,PA,PLYMOUTH MEETING,19462,220 WEST GERMANTOWN PIKE,SUITE 250,US,DE,823677704,DFB HEALTHCARE ACQUISITIONS CORP.,20171213,2-ACC,0,1231,8-K,20200831,,,20200821,32:00.0,0,0,tm2028998d1_8k_htm.xml,1,,
0001104659-20-097619,769520,MIDDLEBY CORP,3580,US,IL,ELGIN,60120,1400 TOASTMASTER DRIVE,,8477413300,US,IL,ELGIN,60120,1400 TOASTMASTER DRIVE,,US,IL,363352497,,,1-LAF,0,1231,8-K,20200831,,,20200821,40:00.0,0,0,tm2027783d3_8k_htm.xml,1,,
0001104659-20-097623,1067294,"CRACKER BARREL OLD COUNTRY STORE, INC",5812,US,TN,LEBANON,370880787,PO BOX 787,,6154439217,US,TN,LEBANON,37087,PO BOX 787,,,,620812904,CBRL GROUP INC,19980730,1-LAF,0,731,8-K,20200831,,,20200821,45:00.0,0,0,tm2029183d1_8k_htm.xml,1,,
0001104659-20-097631,1013871,"NRG ENERGY, INC.",4911,US,NJ,PRINCETON,8540,804 CARNEGIE CENTER,-,609-524-4500,US,NJ,PRINCETON,8540,804 CARNEGIE CENTER,-,US,DE,411724239,NRG ENERGY INC,19960509,1-LAF,0,1231,8-K,20200831,,,20200821,56:00.0,0,0,tm2029145-1_8k_htm.xml,1,,
0001104659-20-097650,1039065,OSI SYSTEMS INC,3674,US,CA,HAWTHORNE,90250,12525 CHADRON AVE,,3109780516,US,CA,HAWTHORNE,90250,12525 CHADRON AVENUE,,US,DE,330238801,,,1-LAF,1,630,10-K,20200630,2020,FY,20200821,18:00.0,0,1,osis-20200630x10k_htm.xml,1,,
0001104659-20-097768,1611983,LIBERTY BROADBAND CORP,4841,US,CO,ENGLEWOOD,80112,12300 LIBERTY BLVD,,720-875-5400,US,CO,ENGLEWOOD,80112,12300 LIBERTY BLVD,,US,DE,0,,,1-LAF,0,1231,8-K,20200831,,,20200824,17:00.0,0,0,tm2029188-2_8k_htm.xml,1,,
0001104659-20-097783,1708055,RIBBON COMMUNICATIONS INC.,7373,US,MA,WESTFORD,1886,4 TECHNOLOGY PARK DRIVE,,978-614-8090,US,MA,WESTFORD,1886,4 TECHNOLOGY PARK DRIVE,,US,DE,821669692,"SONUS NETWORKS, INC.",20171027,2-ACC,0,1231,8-K,20200831,,,20200824,02:00.0,0,0,tm2029117-1_8k_htm.xml,1,,
0001104659-20-097790,1600438,GMS INC.,5030,US,GA,TUCKER,30084,100 CRESCENT CENTRE PARKWAY,SUITE 800,800-392-4619,US,GA,TUCKER,30084,100 CRESCENT CENTRE PARKWAY,SUITE 800,US,DE,0,GYP HOLDINGS I CORP.,20140218,1-LAF,0,430,8-K,20200831,,,20200824,36:00.0,0,0,tm2029126d1_8k_htm.xml,1,,
0001104659-20-097795,1529463,"FTS INTERNATIONAL, INC.",1389,US,TX,FORT WORTH,76102,777 MAIN STREET,SUITE 2900,(817) 862-2000,US,TX,FORT WORTH,76102,777 MAIN STREET,SUITE 2900,US,DE,451610731,"FTS INTERNATIONAL, LLC",20111020,2-ACC,0,1231,8-K,20200831,,,20200824,56:00.0,0,0,tm2029229-1_8k_htm.xml,1,,
0001104659-20-097834,26172,CUMMINS INC,3510,US,IN,COLUMBUS,47202-3005,500 JACKSON ST,BOX 3005 MAIL CODE 60207,8123773842,US,IN,COLUMBUS,47202-3005,BOX 3005 MAIL CODE 60207,500,US,IN,350257090,CUMMINS ENGINE CO INC,19920703,1-LAF,0,1231,8-K,20200831,,,20200824,10:00.0,0,0,tm2029235d1_8k_htm.xml,1,,
0001104659-20-097988,1705110,ANGI HOMESERVICES INC.,7310,US,NY,NEW YORK,10011,555 WEST 18TH STREET,,2123147230,US,NY,NEW YORK,10011,555 WEST 18TH STREET,,US,DE,821204801,"HALO TOPCO, INC.",20170427,1-LAF,0,1231,8-K,20200831,,,20200824,23:00.0,0,0,tm2029243-1_8k_htm.xml,1,,
0001104659-20-097997,1443646,BOOZ ALLEN HAMILTON HOLDING CORP,8742,US,VA,MCLEAN,22102,8283 GREENSBORO DRIVE,,703-902-5000,US,VA,MCLEAN,22102,8283 GREENSBORO DRIVE,,US,DE,0,EXPLORER HOLDING CORP,20080821,1-LAF,0,331,8-K,20200831,,,20200824,31:00.0,0,0,tm2029202d1_8k_htm.xml,1,,
0001104659-20-098013,1813914,DEERFIELD HEALTHCARE TECHNOLOGY ACQUISITIONS CORP.,6770,US,NY,NEW YORK,10017,"780 THIRD AVENUE, 37TH FLOOR",,2125511600,US,NY,NEW YORK,10017,"780 THIRD AVENUE, 37TH FLOOR",,US,DE,850992224,,,4-NON,0,1231,10-Q,20200630,2020,Q2,20200824,53:00.0,0,1,dfhtu-20200630.xml,1,,
0001104659-20-098066,1053352,HERITAGE COMMERCE CORP,6022,US,CA,SAN JOSE,95110,224 AIRPORT PARKWAY,,4089476900,US,CA,SAN JOSE,95110,224 AIRPORT PARKWAY,,US,CA,770469558,,,2-ACC,0,1231,8-K,20200831,,,20200825,01:00.0,0,0,tm2029308-1_8k_htm.xml,1,,
0001104659-20-098092,1433270,ANTERO RESOURCES CORP,1311,US,CO,DENVER,80202,1615 WYNKOOP STREET,,303-357-7325,US,CO,DENVER,80202,1615 WYNKOOP STREET,,,,800162034,ANTERO RESOURCES APPALACHIAN CORP,20100209,1-LAF,0,1231,8-K,20200831,,,20200825,35:00.0,0,0,tm2029250d1_8k_htm.xml,1,,
0001104659-20-098102,26172,CUMMINS INC,3510,US,IN,COLUMBUS,47202-3005,500 JACKSON ST,BOX 3005 MAIL CODE 60207,8123773842,US,IN,COLUMBUS,47202-3005,BOX 3005 MAIL CODE 60207,500,US,IN,350257090,CUMMINS ENGINE CO INC,19920703,1-LAF,0,1231,8-K,20200831,,,20200825,01:00.0,0,0,tm2029181d1_8k_htm.xml,1,,
0001104659-20-098104,1657312,VERONA PHARMA PLC,2834,GB,,LONDON,SE1 2RE,3 MORE LONDON RIVERSIDE,,011-44-0-2032834200,GB,,LONDON,SE1 2RE,3 MORE LONDON RIVERSIDE,,GB,,0,,,2-ACC,0,1231,6-K/A,20200630,2020,Q2,20200825,01:00.0,0,1,vrna-20200630.xml,1,,
0001104659-20-098105,1595527,"NEW YORK CITY REIT, INC.",6798,US,NY,NEW YORK,10019,650 FIFTH AVE,30TH FLOOR,2124156500,US,NY,NEW YORK,10019,650 FIFTH AVE,30TH FLOOR,US,MD,464380248,"AMERICAN REALTY CAPITAL NEW YORK CITY REIT, INC.",20140226,4-NON,0,1231,8-K,20200831,,,20200825,02:00.0,0,0,tm2029287d1_8k_htm.xml,1,,
0001104659-20-098132,1611983,LIBERTY BROADBAND CORP,4841,US,CO,ENGLEWOOD,80112,12300 LIBERTY BLVD,,720-875-5400,US,CO,ENGLEWOOD,80112,12300 LIBERTY BLVD,,US,DE,0,,,1-LAF,0,1231,8-K,20200831,,,20200825,06:00.0,0,0,tm2029188d3_8k_htm.xml,1,,
0001104659-20-098153,1041859,"CHILDRENS PLACE, INC.",5651,US,NJ,SECAUCUS,7094,500 PLAZA DRIVE,,2015582400,US,NJ,SECAUCUS,7094,500 PLAZA DRIVE,,,,311241495,CHILDRENS PLACE RETAIL STORES INC,19970702,1-LAF,0,131,8-K,20200831,,,20200825,05:00.0,0,0,tm2029285d1_8k_htm.xml,1,,
0001104659-20-098176,1623925,ANTERO MIDSTREAM CORP,4922,US,CO,DENVER,80202,1615 WYNKOOP STREET,,(303) 357-7310,US,CO,DENVER,80202,1615 WYNKOOP STREET,,,,611748605,ANTERO MIDSTREAM GP LP,20170505,1-LAF,0,1231,8-K,20200831,,,20200825,39:00.0,0,0,tm2029281d1_8k_htm.xml,1,,
0001104659-20-098249,1784797,BROADMARK REALTY CAPITAL INC.,6798,US,WA,SEATTLE,98101,1420 FIFTH AVENUE,SUITE 2000,206-971-0800,US,WA,SEATTLE,98101,1420 FIFTH AVENUE,SUITE 2000,US,MD,842620891,TRINITY SUB INC.,20190806,2-ACC,0,1231,8-K,20200831,,,20200825,55:00.0,0,0,tm2029368-1_8k_htm.xml,1,,
0001104659-20-098327,1022671,STEEL DYNAMICS INC,3312,US,IN,FORT WAYNE,46804,7575 W JEFFERSON BLVD,,260 459 3553,US,IN,FORT WAYNE,46804,7575 W JEFFERSON BLVD,,US,IN,351929476,,,1-LAF,0,1231,8-K,20200831,,,20200825,53:00.0,0,0,tm2029302d1_8k_htm.xml,1,,
0001104659-20-098361,230557,SELECTIVE INSURANCE GROUP INC,6331,US,NJ,BRANCHVILLE,7890,40 WANTAGE AVENUE,,9739483000,US,NJ,BRANCHVILLE,7890,40 WANTAGE AVE,40 WANTAGE AVE,US,NJ,222168890,SRI CORP,19860508,1-LAF,0,1231,8-K,20200831,,,20200825,02:00.0,0,0,tm2029365-1_8k_htm.xml,1,,
0001104659-20-098383,1035092,SHORE BANCSHARES INC,6021,US,MD,EASTON,21601-3013,18 EAST DOVER STREET,,4108221400,US,MD,EASTON,21601-3013,18 EAST DOVER STREET,,US,MD,521974638,,,2-ACC,0,1231,8-K,20200831,,,20200825,31:00.0,0,0,tm2029305d1_8k_htm.xml,1,,
