adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks
0001104659-19-054292,1459417,"2U, INC.",7372,US,MD,LANHAM,20706,7900 HARKINS ROAD,,(301) 892-4350,US,MD,LANHAM,20706,7900 HARKINS ROAD,,US,DE,262335939,"2TOR, INC.",20090324,1-LAF,0,1231,8-K,20190930,2019,Q3,20191016,31:00.0,0,0,tm1920311-1_8k_htm.xml,1,
0001104659-19-054332,1556179,"RMR INDUSTRIALS, INC.",7380,US,CO,DENVER,80237,4601 DTC BLVD.,SUITE 130,720-614-5213,US,CO,DENVER,80237,4601 DTC BLVD.,SUITE 130,US,NV,460750094,ONLINE YEARBOOK,20120813,4-NON,0,331,10-Q,20181231,2019,Q3,20191016,15:00.0,0,1,rmri-20181231.xml,1,
0001104659-19-054407,861842,CATHAY GENERAL BANCORP,6022,US,CA,LOS ANGELES,90012,777 N BROADWAY,,2136254700,US,CA,LOS ANGELES,90012,777 NORTH BROADWAY,,US,DE,954274680,CATHAY BANCORP INC,19930328,1-LAF,0,1231,8-K,20191031,2019,FY,20191016,46:00.0,0,0,tm1920360d1_8k_htm.xml,1,
0001104659-19-054411,1743858,LONGEVITY ACQUISITION CORP,6770,CN,,SHANGHAI,20000,YONGDA INTERNATIONAL TOWER NO. 2277,LONGEVITY ROAD PUDONG DISTRICT,8.62161E+11,CN,,SHANGHAI,20000,YONGDA INTERNATIONAL TOWER NO. 2277,LONGEVITY ROAD PUDONG DISTRICT,VG,,0,,,4-NON,0,228,10-Q,20190831,2020,Q2,20191016,02:00.0,0,1,loacu-20190831.xml,1,
0001104659-19-054417,1126328,PRINCIPAL FINANCIAL GROUP INC,6321,US,IA,DES MOINES,50392,711 HIGH STREET,,5152475111,US,IA,DES MOINES,50392,711 HIGH STREET,,US,DE,421520346,,,1-LAF,0,1231,8-K,20191031,2019,FY,20191016,24:00.0,0,0,tm1920305-1_8k_htm.xml,1,
0001104659-19-054423,742126,"US ECOLOGY, INC.",4953,US,ID,BOISE,83702,101 S. CAPITOL BLVD.,SUITE 1000,2083318400,US,ID,BOISE,83702,101 S. CAPITOL BLVD.,SUITE 1000,US,DE,953889638,AMERICAN ECOLOGY CORP,19920703,1-LAF,0,1231,8-K,20191031,2019,FY,20191016,28:00.0,0,0,tm1913125-9_8k_htm.xml,1,
0001104659-19-054431,1207074,VIRTUSA CORP,7371,US,MA,SOUTHBOROUGH,1772,132 TURNPIKE RD,,508-389-7300,US,MA,SOUTHBOROUGH,1772,132 TURNPIKE RD,,US,DE,0,,,1-LAF,0,331,8-K,20190930,2019,Q2,20191017,02:00.0,0,0,tm1920335-1_8k_htm.xml,1,
0001104659-19-054487,1568139,BIO-EN HOLDINGS CORP.,2050,US,NY,MONSEY,10954,56 MAIN STREET,,8453647151,US,NY,MONSEY,10954,56 MAIN STREET,,US,DE,990369116,OLIVIA INC.,20130129,4-NON,0,1231,10-Q,20190630,2019,Q2,20191017,12:00.0,0,1,benh-20190630.xml,1,
0001104659-19-054492,217346,TEXTRON INC,3720,US,RI,PROVIDENCE,2903,40 WESTMINSTER ST,,4014212800,US,RI,PROVIDENCE,2903,40 WESTMINSTER ST,,US,DE,50315468,AMERICAN TEXTRON INC,19710510,1-LAF,0,1231,8-K,20191031,2019,FY,20191017,40:00.0,0,0,tm1920345-1_8k_htm.xml,1,
0001104659-19-054525,824410,SANDY SPRING BANCORP INC,6021,US,MD,OLNEY,20832,17801 GEORGIA AVE,,3017746400,US,MD,OLNEY,20832,17801 GEORGIA AVENUE,,,,521532952,,,1-LAF,0,1231,8-K,20191031,2019,FY,20191017,15:00.0,0,0,tm192034d1_8k_htm.xml,1,
0001104659-19-054529,1163302,UNITED STATES STEEL CORP,3312,US,PA,PITTSBURGH,15219-2800,600 GRANT ST,ROOM 1500,415 433 2967,US,,PITTSBURGH,15219-2800,600 GRANT STREET,,US,DE,251897152,UNITED STATES STEEL LLC,20011205,1-LAF,0,1231,8-K,20191031,2019,FY,20191017,38:00.0,0,0,tm1920438-1_8k_htm.xml,1,
0001104659-19-054635,1602065,VIPER ENERGY PARTNERS LP,1311,US,TX,MIDLAND,79701,500 WEST TEXAS AVENUE,SUITE 1200,432-221-7400,US,TX,MIDLAND,79701,500 WEST TEXAS AVENUE,SUITE 1200,US,DE,465001985,,,1-LAF,0,1231,8-K,20190930,2019,Q3,20191017,06:00.0,1,0,tm1919389-3_8k_htm.xml,1,
0001104659-19-054642,868857,AECOM,8711,US,CA,LOS ANGELES,90067,1999 AVENUE OF THE STARS,SUITE 2600,2135938501,US,CA,LOS ANGELES,90067,1999 AVENUE OF THE STARS,SUITE 2600,US,DE,611088522,AECOM TECHNOLOGY CORP,19901017,1-LAF,0,930,8-K,20190930,2019,FY,20191017,16:00.0,0,0,tm19198881_8k_htm.xml,1,
0001104659-19-054655,33213,EQT CORP,1311,US,PA,PITTSBURGH,15222,625 LIBERTY AVENUE,SUITE 1700,4125535700,US,PA,PITTSBURGH,15222,625 LIBERTY AVENUE,SUITE 1700,US,PA,250464690,EQT CORP /PA/,20090206,1-LAF,0,1231,8-K,20191031,2019,FY,20191017,31:00.0,0,0,tm1920424-1_8k_htm.xml,1,
0001104659-19-054670,314203,MCEWEN MINING INC.,1040,CA,ON,TORONTO,M5H 1J9,SUITE 2800,"150 KING STREET WEST, P.O. BOX 24",647-258-0395,CA,ON,TORONTO,M5H 1J9,SUITE 2800,"150 KING STREET WEST, P.O. BOX 24",US,CO,840796160,U S GOLD CORP,19920703,1-LAF,0,1231,8-K,20191031,2019,FY,20191017,52:00.0,0,0,tm1920302-2_8k_htm.xml,1,
0001104659-19-054793,1441849,CLOUD PEAK ENERGY INC.,1221,US,WY,GILLETTE,82718,748 T-7 ROAD,,307-687-6000,US,WY,GILLETTE,82717-3001,P.O. BOX 3001,,US,DE,263088162,,,2-ACC,0,1231,10-Q,20190930,2019,Q3,20191018,06:00.0,0,1,cld-20190930.xml,1,
0001104659-19-054810,351569,AMERIS BANCORP,6022,US,GA,ATLANTA,30305,3490 PIEDMONT RD,SUITE 1550,4046396500,US,GA,ATLANTA,30305,3490 PIEDMONT RD,SUITE 1550,US,GA,581456434,ABC BANCORP,19920703,1-LAF,0,1231,8-K,20191031,2019,FY,20191018,03:00.0,1,0,tm1920515d1_8k_htm.xml,1,
0001104659-19-054912,1126328,PRINCIPAL FINANCIAL GROUP INC,6321,US,IA,DES MOINES,50392,711 HIGH STREET,,5152475111,US,IA,DES MOINES,50392,711 HIGH STREET,,US,DE,421520346,,,1-LAF,0,1231,8-K,20190930,2019,Q3,20191018,44:00.0,0,0,tm1920398-1_8k_htm.xml,1,
0001104659-19-054953,81362,QUAKER CHEMICAL CORP,2990,US,PA,CONSHOHOCKEN,19428,ONE QUAKER PARK,901 HECTOR STREET,6108324000,US,PA,CONSHOHOCKEN,19428,ONE QUAKER PARK,901 HECTOR ST,US,PA,230993790,,,1-LAF,0,1231,8-K,20191031,2019,FY,20191018,07:00.0,0,0,tm1920519d1_8k_htm.xml,1,
0001104659-19-055022,1091667,"CHARTER COMMUNICATIONS, INC. /MO/",4841,US,CT,STAMFORD,6901,400 ATLANTIC STREET,,203-905-7800,US,CT,STAMFORD,6901,400 ATLANTIC STREET,,,,841496755,CHARTER COMMUNICATIONS INC /MO/,19990723,1-LAF,0,1231,8-K,20190930,2019,Q3,20191021,30:00.0,0,0,tm1919719-6_8k_htm.xml,2,1271833
0001104659-19-055063,1568162,"AMERICAN FINANCE TRUST, INC",6798,US,NY,NEW YORK,10022,405 PARK AVENUE,,212-415-6500,US,NY,NEW YORK,10022,405 PARK AVENUE,,US,MD,900929989,"AMERICAN REALTY CAPITAL TRUST V, INC.",20130129,4-NON,0,1231,8-K,20191031,2019,FY,20191021,12:00.0,0,0,tm1920584d1_8k_htm.xml,1,
0001104659-19-055064,1082554,UNITED THERAPEUTICS CORP,2834,US,MD,SILVER SPRING,20910,1040 SPRING ST,,3016089292,US,MD,SILVER SPRING,20910,1040 SPRING ST,,US,DE,521984749,UNITED THERAPEUTICS CORP,19990324,1-LAF,0,1231,8-K,20191031,2019,FY,20191021,14:00.0,0,0,tm1920610-2_8k_htm.xml,1,
0001104659-19-055071,4281,ARCONIC INC.,3350,US,PA,PITTSBURGH,15212-5872,201 ISABELLA STREET,SUITE 200,(412) 553-1940,US,NY,NEW YORK,10022-4608,390 PARK AVENUE,,US,DE,250317820,ALCOA INC.,20141003,1-LAF,0,1231,8-K,20190930,2019,Q3,20191021,56:00.0,0,0,tm19205511_8k_htm.xml,1,
0001104659-19-055074,1378718,"WESCO AIRCRAFT HOLDINGS, INC",5072,US,CA,VALENCIA,91355,24911 AVENUE STANFORD,,661-775-7200,US,CA,VALENCIA,91355,24911 AVENUE STANFORD,,,,205441563,WESCO HOLDINGS INC,20061019,1-LAF,0,,8-K,20190930,2020,FY,20191021,01:00.0,0,0,tm1920565-1_8k_htm.xml,1,
0001104659-19-055083,827871,"EAGLE PHARMACEUTICALS, INC.",2834,US,NJ,WOODCLIFF LAKE,7677,"50 TICE BOULEVARD, SUITE 315",,201-326-5300,US,NJ,WOODCLIFF LAKE,7677,"50 TICE BOULEVARD, SUITE 315",,US,DE,0,EAGLE PHARMACEUTICALS INC,19880120,1-LAF,0,1231,8-K,20191031,2019,FY,20191021,31:00.0,0,0,tm1920609-1_8k_htm.xml,1,
0001104659-19-055124,723188,"COMMUNITY BANK SYSTEM, INC.",6021,US,NY,DEWITT,13214,5790 WIDEWATERS PKWY,,8007242262,US,NY,DEWITT,13214,5790 WIDEWATERS PARKWAY,,US,DE,161213679,"COMMUNITY BANK NA, A SUBSIDIARY OF COMMUNITY BANK SYSTEM INC",20130729,1-LAF,0,1231,8-K,20191031,2019,FY,20191021,13:00.0,0,0,tm1920602d1_8k_htm.xml,1,
0001104659-19-055129,723188,"COMMUNITY BANK SYSTEM, INC.",6021,US,NY,DEWITT,13214,5790 WIDEWATERS PKWY,,8007242262,US,NY,DEWITT,13214,5790 WIDEWATERS PARKWAY,,US,DE,161213679,"COMMUNITY BANK NA, A SUBSIDIARY OF COMMUNITY BANK SYSTEM INC",20130729,1-LAF,0,1231,8-K,20191031,2019,FY,20191021,32:00.0,0,0,tm1920592-1_8k_htm.xml,1,
0001104659-19-055180,1384195,"RING ENERGY, INC.",1311,US,OK,TULSA,74136,6555 SOUTH LEWIS STREET,,918-499-3880,US,OK,TULSA,74136,6555 SOUTH LEWIS STREET,,US,NV,980495938,TRANSGLOBAL MINING CORP.,20070425,1-LAF,0,1231,8-K,20190930,2019,Q3,20191021,46:00.0,0,0,tm1920622d1_8k_htm.xml,1,
0001104659-19-055237,1022671,STEEL DYNAMICS INC,3312,US,IN,FORT WAYNE,46804,7575 W JEFFERSON BLVD,,260 459 3553,US,IN,FORT WAYNE,46804,7575 W JEFFERSON BLVD,,US,IN,351929476,,,1-LAF,0,1231,8-K,20191031,2019,FY,20191021,09:00.0,0,0,tm1920549-2_8k_htm.xml,1,
0001104659-19-055270,917251,AGREE REALTY CORP,6798,US,MI,BLOOMFIELD HILLS,48034,70 E. LONG LAKE ROAD,,8107374190,US,MI,BLOOMFIELD HILLS,48034,70 E. LONG LAKE ROAD,,US,DE,383148187,,,1-LAF,0,1231,8-K,20191031,2019,FY,20191021,06:00.0,0,0,tm1920654-1_8k_htm.xml,1,
0001104659-19-055297,1163302,UNITED STATES STEEL CORP,3312,US,PA,PITTSBURGH,15219-2800,600 GRANT ST,ROOM 1500,415 433 2967,US,,PITTSBURGH,15219-2800,600 GRANT STREET,,US,DE,251897152,UNITED STATES STEEL LLC,20011205,1-LAF,0,1231,8-K,20191031,2019,FY,20191021,41:00.0,0,0,tm1920438-2_8k_htm.xml,1,
0001104659-19-055303,1232582,ASHFORD HOSPITALITY TRUST INC,6798,US,TX,DALLAS,75254,14185 DALLAS PARKWAY SUITE 1100,,9724909600,US,TX,DALLAS,75254,14185 DALLAS PARKWAY SUITE 1100,,US,MD,861062192,,,1-LAF,0,1231,8-K,20191031,2019,FY,20191021,01:00.0,0,0,tm1920668-1_8k_htm.xml,1,
0001104659-19-055314,791915,CYPRESS SEMICONDUCTOR CORP /DE/,3674,US,CA,SAN JOSE,95134,198 CHAMPION COURT,,4089432600,US,CA,SAN JOSE,95134,198 CHAMPION COURT,,US,DE,942885898,,,1-LAF,0,1231,8-K,20191031,2019,FY,20191021,26:00.0,0,0,tm19206741_8k_htm.xml,1,
0001104659-19-055375,1526113,"GLOBAL NET LEASE, INC.",6798,US,NY,NEW YORK,10022,405 PARK AVENUE,,212-415-6500,US,NY,NEW YORK,10022,405 PARK AVENUE,,,,452771978,"AMERICAN REALTY CAPITAL GLOBAL TRUST, INC.",20120810,1-LAF,0,1231,8-K,20191031,2019,FY,20191022,02:00.0,0,0,tm1920684d1_8k_htm.xml,1,
0001104659-19-055387,930236,REDWOOD TRUST INC,6798,US,CA,MILL VALLEY,94941,ONE BELVEDERE PLACE,SUITE 300,(415) 380-2317,US,CA,MILL VALLEY,94941,ONE BELVEDERE PLACE,SUITE 300,US,MD,680329422,,,1-LAF,0,1231,8-K/A,20190930,2019,Q3,20191022,07:00.0,1,0,tm1920730d1_8ka_htm.xml,1,
0001104659-19-055395,1037676,ARCH COAL INC,1221,US,MO,ST LOUIS,63141,CITY PLACE ONE STE 300,ARCH MINERAL CORP,3149942700,US,MO,CREVE COEUR,63141,CITYPLACE ONE SUITE 300,ARCH MINERAL CORP,US,DE,430921172,ARCH MINERAL CORP,19970411,1-LAF,0,1231,8-K,20191031,2019,FY,20191022,46:00.0,0,0,tm1920461-1_8k_htm.xml,1,
0001104659-19-055409,1593936,"MICHAELS COMPANIES, INC.",5945,US,TX,IRVING,75063,8000 BENT BRANCH DRIVE,,9724091300,US,TX,IRVING,75063,8000 BENT BRANCH DRIVE,,US,DE,371737959,,,1-LAF,0,131,8-K,20191031,2019,Q3,20191022,06:00.0,0,0,tm1920661-1_8k_htm.xml,1,
0001104659-19-055567,1551152,ABBVIE INC.,2834,US,IL,NORTH CHICAGO,60064,1 NORTH WAUKEGAN ROAD,,(847) 932-7900,US,IL,NORTH CHICAGO,60064,1 NORTH WAUKEGAN ROAD,,US,DE,320375147,,,1-LAF,0,1231,8-K,20191031,2019,FY,20191022,42:00.0,0,0,tm1920558-2_8k_htm.xml,1,
0001104659-19-055594,1368622,AEROVIRONMENT INC,3721,US,CA,SIMI VALLEY,93065,900 INNOVATORS WAY,,805 520 8350,US,CA,SIMI VALLEY,93065,900 INNOVATORS WAY,,US,DE,952705790,,,1-LAF,0,430,8-K/A,20190930,2020,Q2,20191022,13:00.0,0,0,tm1920670-1_8k_htm.xml,1,
0001104659-19-055615,1025378,W. P. CAREY INC.,6798,US,NY,NEW YORK,10020,50 ROCKEFELLER PLAZA,,2124921100,US,NY,NEW YORK,10020,50 ROCKEFELLER PLAZA,,US,MD,133912578,W P CAREY & CO LLC,20110722,1-LAF,0,1231,8-K,20191031,2019,FY,20191022,31:00.0,0,0,tm19207611_8k_htm.xml,1,
0001104659-19-055618,94344,STEWART INFORMATION SERVICES CORP,6361,US,TX,HOUSTON,77056,1360 POST OAK BLVD,SUITE 100,7136258100,US,TX,HOUSTON,77056,1360 POST OAK BLVD,SUITE 100,US,DE,741677330,,,1-LAF,0,1231,8-K,20191031,2019,FY,20191023,51:00.0,0,0,tm19207781_8k_htm.xml,1,
0001104659-19-055678,8818,AVERY DENNISON CORP,2670,US,CA,GLENDALE,91203,207 GOODE AVENUE,,626.304.2000,US,CA,GLENDALE,91203,207 GOODE AVENUE,,US,DE,951492269,AVERY DENNISON CORPORATION,19920703,1-LAF,0,1231,8-K,20191031,2019,FY,20191023,46:00.0,0,0,tm1920728-1_8k_htm.xml,1,
0001104659-19-055682,1129155,MARINE PRODUCTS CORP,3730,US,GA,ATLANTA,30329,"2801 BUFORD HIGHWAY NE, SUITE 300",,404-321-2140,US,GA,ATLANTA,30329,"2801 BUFORD HIGHWAY NE, SUITE 300",,US,DE,582572419,,,2-ACC,0,1231,8-K,20191031,2019,FY,20191023,12:00.0,0,0,tm1920738-2_8k_htm.xml,1,
0001104659-19-055684,1129155,MARINE PRODUCTS CORP,3730,US,GA,ATLANTA,30329,"2801 BUFORD HIGHWAY NE, SUITE 300",,404-321-2140,US,GA,ATLANTA,30329,"2801 BUFORD HIGHWAY NE, SUITE 300",,US,DE,582572419,,,2-ACC,0,1231,8-K,20191031,2019,FY,20191023,12:00.0,0,0,tm1920738-1_8k_htm.xml,1,
0001104659-19-055685,742278,RPC INC,1389,US,GA,ATLANTA,30329,"2801 BUFORD HIGHWAY NE, SUITE 300",,404-321-2140,US,GA,ATLANTA,30329,"2801 BUFORD HIGHWAY NE, SUITE 300",,,,581550825,RPC INC,19950809,1-LAF,0,1231,8-K,20191031,2019,FY,20191023,13:00.0,0,0,tm1920786-1_8k_htm.xml,1,
0001104659-19-055691,1038074,SILICON LABORATORIES INC.,3674,US,TX,AUSTIN,78701,400 W CESAR CHAVEZ,,5124168500,US,TX,AUSTIN,78701,400 W CESAR CHAVEZ,,US,DE,742793174,SILICON LABORATORIES INC,20000105,1-LAF,0,1231,8-K,20191031,2019,FY,20191023,08:00.0,0,0,tm1920689-1_8k_htm.xml,1,
0001104659-19-055694,823768,WASTE MANAGEMENT INC,4953,US,TX,HOUSTON,77002,1001 FANNIN STREET,,7135126200,US,TX,HOUSTON,77002,1001 FANNIN STREET,,US,DE,731309529,USA WASTE SERVICES INC,19920703,1-LAF,0,1231,8-K,20191031,2019,FY,20191023,12:00.0,0,0,tm19206911_8k_htm.xml,1,
0001104659-19-055716,1038074,SILICON LABORATORIES INC.,3674,US,TX,AUSTIN,78701,400 W CESAR CHAVEZ,,5124168500,US,TX,AUSTIN,78701,400 W CESAR CHAVEZ,,US,DE,742793174,SILICON LABORATORIES INC,20000105,1-LAF,0,1231,10-Q,20190930,2019,Q3,20191023,46:00.0,0,1,slab-20190928x10q9dec11_htm.xml,1,
0001104659-19-055774,217346,TEXTRON INC,3720,US,RI,PROVIDENCE,2903,40 WESTMINSTER ST,,4014212800,US,RI,PROVIDENCE,2903,40 WESTMINSTER ST,,US,DE,50315468,AMERICAN TEXTRON INC,19710510,1-LAF,0,1231,10-Q,20190930,2019,Q3,20191023,07:00.0,0,1,txt-20190928x10q8bd564_htm.xml,1,
0001104659-19-055829,1717307,INDUSTRIAL LOGISTICS PROPERTIES TRUST,6798,US,MA,NEWTON,2458,TWO NEWTON PLACE,"255 WASHINGTON STREET, SUITE 300",617-796-8303,US,MA,NEWTON,2458,TWO NEWTON PLACE,"255 WASHINGTON STREET, SUITE 300",US,MD,822809631,,,4-NON,0,1231,8-K,20191031,2019,FY,20191023,30:00.0,0,0,tm1920677-1_8k_htm.xml,1,
0001104659-19-055860,742126,"US ECOLOGY, INC.",4953,US,ID,BOISE,83702,101 S. CAPITOL BLVD.,SUITE 1000,2083318400,US,ID,BOISE,83702,101 S. CAPITOL BLVD.,SUITE 1000,US,DE,953889638,AMERICAN ECOLOGY CORP,19920703,1-LAF,0,1231,8-K,20191031,2019,FY,20191023,01:00.0,0,0,tm1913125-10_8k_htm.xml,1,
0001104659-19-055861,1459417,"2U, INC.",7372,US,MD,LANHAM,20706,7900 HARKINS ROAD,,(301) 892-4350,US,MD,LANHAM,20706,7900 HARKINS ROAD,,US,DE,262335939,"2TOR, INC.",20090324,1-LAF,0,1231,8-K,20191031,2019,FY,20191023,01:00.0,0,0,tm1920817-1_8k_htm.xml,1,
0001104659-19-055900,102729,VALMONT INDUSTRIES INC,3440,US,NE,OMAHA,68154,ONE VALMONT PLAZA,,402-963-1000,US,NE,OMAHA,68154,ONE VALMONT PLAZA,,US,DE,470351813,VALLEY MANUFACTURING CO,19680822,1-LAF,0,1231,8-K,20191031,2019,FY,20191024,25:00.0,0,0,tm1920841-1_8k_htm.xml,1,
0001104659-19-055921,879585,"ATN INTERNATIONAL, INC.",4813,US,MA,BEVERLY,1915,500 CUMMINGS CENTER,,9786191300,US,MA,BEVERLY,1915,500 CUMMINGS CENTER,,US,DE,470728886,ATLANTIC TELE NETWORK INC /DE,19930328,1-LAF,0,1231,8-K,20191031,2019,FY,20191024,57:00.0,0,0,tm1920846-1_8k_htm.xml,1,
0001104659-19-055969,77360,PENTAIR PLC,3550,GB,,LONDON,TW13QS,"REGAL HOUSE, 70 LONDON ROAD",TWICKENHAM,763-545-1730,US,MN,GOLDEN VALLEY,55416,C/O PENTAIR MANAGEMENT COMPANY,"5500 WAYZATA BLVD, SUITE 900",IE,,981050812,PENTAIR LTD,20121003,1-LAF,0,1231,8-K,20191031,2019,FY,20191024,35:00.0,0,0,tm1920874-1_8k_htm.xml,1,
0001104659-19-055973,66740,3M CO,3841,US,MN,ST PAUL,55144-1000,3M CENTER,BLDG. 220-13E-26A,6517331474,US,MN,ST. PAUL,55144-1000,3M CENTER,BLDG. 220-13E-26A,US,DE,410417775,MINNESOTA MINING & MANUFACTURING CO,19920703,1-LAF,0,1231,8-K,20191031,2019,FY,20191024,50:00.0,0,0,tm1920856-1_8k_htm.xml,1,
0001104659-19-055975,1178879,"AMICUS THERAPEUTICS, INC.",2834,US,NJ,CRANBURY,8512,1 CEDAR BROOK DRIVE,,(609) 662-2000,US,NJ,CRANBURY,8512,1 CEDAR BROOK DRIVE,,US,DE,200422823,AMICUS THERAPEUTICS INC,20020729,1-LAF,0,1231,8-K,20191031,2019,FY,20191024,01:00.0,0,0,tm1920888-1_8k_htm.xml,1,
0001104659-19-055976,1166691,COMCAST CORP,4841,US,PA,PHILADELPHIA,19103-2838,ONE COMCAST CENTER,,215-286-1700,US,PA,PHILADELPHIA,19103-2838,ONE COMCAST CENTER,,US,PA,270000798,AT&T COMCAST CORP,20020206,1-LAF,0,1231,8-K,20191031,2019,FY,20191024,06:00.0,0,0,tm1920735-1_8k_htm.xml,1,
0001104659-19-055977,811156,CMS ENERGY CORP,4931,US,MI,JACKSON,49201,ONE ENERGY PLAZA,,5177880550,US,MI,JACKSON,49201,ONE ENERGY PLAZA,,US,MI,382726431,CONSUMERS POWER CO,19920703,1-LAF,0,1231,8-K,20191031,2019,FY,20191024,18:00.0,0,0,tm1920854-1_8k_htm.xml,2,201533
0001104659-19-055983,874716,IDEXX LABORATORIES INC /DE,2835,US,ME,WESTBROOK,04092-2041,ONE IDEXX DRIVE,,2075560300,US,ME,WESTBROOK,04092-2041,ONE IDEXX DRIVE,,US,DE,10393723,IDEXX CORP / DE,19600201,1-LAF,0,1231,8-K,20191031,2019,FY,20191024,34:00.0,0,0,tm19207851_8k_htm.xml,1,
0001104659-19-056052,1364885,"SPIRIT AEROSYSTEMS HOLDINGS, INC.",3728,US,KS,WICHITA,67210,3801 SOUTH OLIVER,,316.526.9000,US,KS,WICHITA,67210,3801 SOUTH OLIVER,,US,DE,202436320,,,1-LAF,0,1231,8-K,20191031,2019,FY,20191024,53:00.0,0,0,tm1920612-1_8k_htm.xml,1,
0001104659-19-056111,1769484,BIOCERES CROP SOLUTIONS CORP.,2870,KY,,"GEORGE TOWN, GRAND CAYMAN",KY1-1104,"PO BOX 309, UGLAND HOUSE",,54 341 486 1122,AR,,ROSARIO,2000,"OCAMPO 210 BIS, PREDIO CCT",,KY,,0,,,4-NON,0,630,20-F,20190630,2019,FY,20191024,47:00.0,0,1,biox-20190630.xml,1,
0001104659-19-056121,910521,DECKERS OUTDOOR CORP,3021,US,CA,GOLETA,93117,250 COROMAR DRIVE,,8059677611,US,CA,GOLETA,93117,250 COROMAR DRIVE,,US,DE,953015862,DECKERS FOOTWEAR CORP,19930811,1-LAF,0,331,8-K,20191031,2019,Q3,20191024,08:00.0,0,0,tm1920919d1_8k_htm.xml,1,
0001104659-19-056132,1378718,"WESCO AIRCRAFT HOLDINGS, INC",5072,US,CA,VALENCIA,91355,24911 AVENUE STANFORD,,661-775-7200,US,CA,VALENCIA,91355,24911 AVENUE STANFORD,,,,205441563,WESCO HOLDINGS INC,20061019,1-LAF,0,,8-K,20191031,2020,FY,20191024,41:00.0,0,0,tm1920889-1_8k_htm.xml,1,
0001104659-19-056135,866374,FLEX LTD.,3672,SG,,SINGAPORE,486123,2 CHANGI SOUTH LANE,,(65) 6876-9899,SG,,SINGAPORE,486123,2 CHANGI SOUTH LANE,,SG,,0,FLEXTRONICS INTERNATIONAL LTD.,20060608,1-LAF,0,331,8-K,20191031,2019,Q3,20191024,45:00.0,0,0,tm1920858-1_8k_htm.xml,1,
0001104659-19-056141,1529864,"ENOVA INTERNATIONAL, INC.",6141,US,IL,CHICAGO,60604,175 WEST JACKSON BLVD.,SUITE 1000,312-568-4200,US,IL,CHICAGO,60604,175 WEST JACKSON BLVD.,SUITE 1000,US,DE,453190813,,,1-LAF,0,1231,8-K,20191031,2019,FY,20191024,54:00.0,1,0,tm19209131_8k_htm.xml,1,
0001104659-19-056144,1289419,"MORNINGSTAR, INC.",6282,US,IL,CHICAGO,60602,22 WEST WASHINGTON STREET,,(312) 696-6000,US,IL,CHICAGO,60602,22 WEST WASHINGTON STREET,,US,IL,363297908,,,1-LAF,0,1231,8-K,20191031,2019,FY,20191024,01:00.0,0,0,tm1920912-1_8k_htm.xml,1,
0001104659-19-056145,723188,"COMMUNITY BANK SYSTEM, INC.",6021,US,NY,DEWITT,13214,5790 WIDEWATERS PKWY,,8007242262,US,NY,DEWITT,13214,5790 WIDEWATERS PARKWAY,,US,DE,161213679,"COMMUNITY BANK NA, A SUBSIDIARY OF COMMUNITY BANK SYSTEM INC",20130729,1-LAF,0,1231,8-K,20191031,2019,FY,20191024,01:00.0,0,0,tm1920865-1_8k_htm.xml,1,
0001104659-19-056174,831001,CITIGROUP INC,6021,US,NY,NEW YORK,10013,388 GREENWICH STREET,,2125591000,US,NY,NEW YORK,10013,388 GREENWICH STREET,,US,DE,521568099,TRAVELERS GROUP INC,19950519,1-LAF,0,1231,8-K,20191031,2019,FY,20191025,57:00.0,0,0,c-20191024x8k_htm.xml,1,
0001104659-19-056190,1091667,"CHARTER COMMUNICATIONS, INC. /MO/",4841,US,CT,STAMFORD,6901,400 ATLANTIC STREET,,203-905-7800,US,CT,STAMFORD,6901,400 ATLANTIC STREET,,,,841496755,CHARTER COMMUNICATIONS INC /MO/,19990723,1-LAF,0,1231,8-K,20191031,2019,FY,20191025,13:00.0,0,0,tm1919719-7_8k_htm.xml,2,1271833
0001104659-19-056238,1126328,PRINCIPAL FINANCIAL GROUP INC,6321,US,IA,DES MOINES,50392,711 HIGH STREET,,5152475111,US,IA,DES MOINES,50392,711 HIGH STREET,,US,DE,421520346,,,1-LAF,0,1231,8-K,20191031,2019,FY,20191025,46:00.0,0,0,tm1920771-1_8k_htm.xml,1,
0001104659-19-056269,1307954,HUNTSMAN CORP,2800,US,TX,THE WOODLANDS,77380,10003 WOODLOCH FOREST DRIVE,,(281) 719-6000,US,TX,THE WOODLANDS,77380,10003 WOODLOCH FOREST DRIVE,,US,DE,421648585,,,1-LAF,0,1231,8-K,20191031,2019,FY,20191025,16:00.0,0,0,tm1920866-1_8k_htm.xml,1,
0001104659-19-056303,721994,LAKELAND FINANCIAL CORP,6022,US,IN,WARSAW,46581-1387,202 E CENTER ST,P O BOX 1387,5742676144,US,IN,WARSAW,46581,202 E CENTER ST,PO BOX 1387,US,IN,351559596,,,1-LAF,0,1231,8-K,20191031,2019,FY,20191025,01:00.0,0,0,tm1920932d1_8k_htm.xml,1,
